¿ªÊ¼Óï·¨·ÖÎö: 
Õ»                  ÊäÈë´®                                                                                              ¶¯×÷                          
# A } F H        int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        H -> J ID H' 
# A } F H' ID J        int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        J -> int 
# A } F H' ID int        int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä int
# A } F H' ID        a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
# A } F H' a        a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F H'        = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        H' -> = K ; 
# A } F ; K =        = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä =
# A } F ; K        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K -> KA K' 
# A } F ; K' KA        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA -> KB KA' 
# A } F ; K' KA' KB        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB -> KC KB' 
# A } F ; K' KA' KB' KC        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC -> KD KC' 
# A } F ; K' KA' KB' KC' KD        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD -> KE KD' 
# A } F ; K' KA' KB' KC' KD' KE        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F ; K' KA' KB' KC' KD' KE' O        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F ; K' KA' KB' KC' KD' KE' O' Q        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> NUM Q' 
# A } F ; K' KA' KB' KC' KD' KE' O' Q' NUM        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        NUM -> 90 
# A } F ; K' KA' KB' KC' KD' KE' O' Q' 90        90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä 90
# A } F ; K' KA' KB' KC' KD' KE' O' Q'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q' -> ¦Å 
# A } F ; K' KA' KB' KC' KD' KE' O' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC' KD' KE' O'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F ; K' KA' KB' KC' KD' KE' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC' KD' KE'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F ; K' KA' KB' KC' KD' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC' KD'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> ¦Å 
# A } F ; K' KA' KB' KC' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
# A } F ; K' KA' KB' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F ; K' KA' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F ; K' ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K'        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F ; ¦Å        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ;        ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F        double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        F -> H F 
# A } F H        double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        H -> J ID H' 
# A } F H' ID J        double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        J -> double 
# A } F H' ID double        double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä double
# A } F H' ID        b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> b 
# A } F H' b        b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä b
# A } F H'        = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        H' -> = K ; 
# A } F ; K =        = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä =
# A } F ; K        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K -> KA K' 
# A } F ; K' KA        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA -> KB KA' 
# A } F ; K' KA' KB        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB -> KC KB' 
# A } F ; K' KA' KB' KC        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC -> KD KC' 
# A } F ; K' KA' KB' KC' KD        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD -> KE KD' 
# A } F ; K' KA' KB' KC' KD' KE        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F ; K' KA' KB' KC' KD' KE' O        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F ; K' KA' KB' KC' KD' KE' O' Q        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> NUM Q' 
# A } F ; K' KA' KB' KC' KD' KE' O' Q' NUM        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        NUM -> 30.75 
# A } F ; K' KA' KB' KC' KD' KE' O' Q' 30.75        30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä 30.75
# A } F ; K' KA' KB' KC' KD' KE' O' Q'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q' -> ¦Å 
# A } F ; K' KA' KB' KC' KD' KE' O' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC' KD' KE' O'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F ; K' KA' KB' KC' KD' KE' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC' KD' KE'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F ; K' KA' KB' KC' KD' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC' KD'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> ¦Å 
# A } F ; K' KA' KB' KC' ¦Å        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F ; K' KA' KB' KC'        ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
